DAUID,PCODE3
12100124,B2N
12100125,B2N
12100126,B6L
12100127,B6L
12100138,B2N
12100138,B6L
12100139,B2N
12100139,B6L
12100140,B6L
12100141,B2N
12100141,B6L
12100142,B2N
12100143,B2N
12100144,B2N
12100145,B2N
12100146,B2N
12100147,B2N
12100148,B2N
12100149,B2N
12100149,B6L
12100150,B2N
12100155,B6L
12100156,B2N
12100157,B2N
12110066,B4H
12110090,B4H
12110091,B4H
12110092,B4H
12110093,B4H
12110094,B4H
12110095,B4H
12110096,B4H
12110097,B4H
12110098,B4H
12110099,B4H
12110100,B4H
12110101,B4H
12110102,B4H
12110103,B4H
12110104,B4H
12110105,B4H
12110106,B2N
12110106,B4H
12110107,B4H
12110108,B4H
12110109,B4H
12110110,B4H
12120066,B2H
12120072,B2H
12120074,B2H
12120075,B2H
12120076,B2H
12120077,B2H
12120078,B2H
12120079,B2H
12120080,B2H
12120081,B2H
12120082,B2H
12120083,B2H
12120084,B2H
12120085,B2H
12120086,B2H
12120087,B2H
12120088,B2H
12120089,B2H
12120090,B2H
12120091,B2H
12120092,B2H
12120109,B2H
12120111,B0K
12120117,B2H
12140056,B2G
12140057,B2G
12140058,B2G
12140059,B2G
12140060,B2G
12140061,B2G
12140062,B2G
12140063,B2G
12140064,B2G
12140065,B2G
12140066,B2G
12140067,B2G
12140068,B2G
12140069,B2G
12140077,B2G
12150045,B0E
12150057,B9A
12150058,B9A
12150059,B9A
12150060,B9A
12150061,B9A
12150062,B9A
12150063,B9A
12150064,B9A
12150065,B9A
12150066,B9A
12150067,B9A
12150068,B9A
12150069,B9A
12160017,B2J
12160018,B2E
12160018,B2J
12160026,B9A
12160027,B9A
12160031,B0E
12160032,B0E
12170352,B1Y
12170353,B1Y
12170354,B1Y
12170355,B1Y
12170356,B1H
12170357,B1Y
12170358,B1V
12170359,B1H
12170360,B1H
12170361,B1Y
12170362,B1V
12170363,B1H
12170364,B1Y
12170365,B1H
12170366,B1H
12170367,B1H
12170368,B1H
12170369,B1Y
12170370,B1H
12170371,B1H
12170372,B1H
12170373,B1H
12170374,B1V
12170375,B1T
12170375,B1Y
12170376,B1V
12170376,B1Y
12170377,B1V
12170378,B1V
12170379,B1H
12170380,B1H
12170381,B1H
12170382,B1H
12170383,B1H
12170384,B1H
12170385,B1H
12170386,B1V
12170387,B1V
12170388,B1V
12170389,B1V
12170390,B1Y
12170391,B2A
12170392,B2A
12170393,B1G
12170394,B1H
12170395,B1A
12170396,B1A
12170397,B1A
12170398,B1G
12170399,B1G
12170400,B1V
12170401,B1H
12170401,B1M
12170402,B1N
12170403,B1A
12170404,B2A
12170405,B1A
12170406,B2A
12170407,B1Y
12170408,B1A
12170409,B1Y
12170409,B2A
12170410,B1A
12170411,B1G
12170412,B1G
12170413,B1A
12170414,B2A
12170415,B1A
12170416,B2A
12170417,B2A
12170418,B1A
12170419,B2A
12170420,B1A
12170421,B2A
12170422,B1A
12170423,B1A
12170424,B1A
12170425,B2A
12170426,B1A
12170427,B1A
12170428,B2A
12170429,B2A
12170430,B1A
12170431,B1H
12170431,B1Y
12170431,B1E
12170432,B2A
12170433,B1A
