PCODE3,in1SD_Instability_DA16,in1SD_Deprivation_DA16,in1SD_Dependency_DA16,in1SD_Ethniccon_DA16,in1SD_Instability_q_DA16,in1SD_Deprivation_q_DA16,in1SD_Dependency_q_DA16,in1SD_Ethniccon_q_DA16
P1B,0.958333333,0.958333333,0.944444444,0.944444444,0.986111111,0.916666667,1,0.944444444
P1H,0.941176471,0.941176471,0.941176471,0.970588235,0.941176471,1,0.941176471,1
P1L,0.967741935,0.967741935,0.967741935,1,1,0.935483871,0.935483871,1
P1P,0.961538462,0.884615385,0.961538462,0.961538462,1,0.923076923,0.923076923,0.923076923
P2A,0.965517241,0.965517241,0.931034483,0.931034483,1,1,0.862068966,0.931034483
P4N,0.947368421,0.947368421,0.929824561,0.98245614,0.912280702,0.964912281,1,0.98245614
P4P,1,1,1,1,1,1,1,1
P7A,0.955223881,0.955223881,0.955223881,0.910447761,0.925373134,0.940298507,0.985074627,0.970149254
P7B,0.943396226,0.962264151,0.943396226,0.943396226,1,1,0.962264151,0.981132075
P7C,0.97826087,0.934782609,0.956521739,0.956521739,0.956521739,1,0.934782609,0.956521739
P7L,1,1,1,1,1,1,1,1
M5L,1,1,1,1,1,1,1,1
