"PCODE3","instability_DA06","deprivation_DA06","dependency_DA06","ethniccon_DA06","DAPop_2006","instability_q_DA06","deprivation_q_DA06","dependency_q_DA06","Ethniccon_q_DA06"
"M9R","0.264286991873020660584032695848","0.493457358413391015309019436558","0.271448776152032415499329235953","1.863897309660021681711540261442","32053","2","4","2","3"
"M9V","-0.308291880766723664866060728969","0.713916122203541629910952969156","-0.358474806902822440173669364503","3.139545214511032915727954868089","54241","2","4","1","4"
"M9W","-0.204325562033444548453662516779","0.413552433458359517103150580370","-0.105933369032999752857105256231","1.948786153334992515410733556181","37993","2","4","2","3"
"N0A","-0.497074332437691549052224371373","-0.287113197941847132948420373952","0.165663683291789028332043842682","-0.653614889742499046370083816892","31020","2","3","2","1"
"N0B","-0.904249151512642678018942824874","-0.558013912928467386523085868921","-0.213754159142510165073523656166","-0.410350505443676764476053093585","89427","1","2","2","1"
"N0C","-0.513887425832507600978839037928","-0.062836367917385764569842738205","0.371832004188211015055504162812","-0.617102819115459593212303422757","17296","2","3","2","1"
"N0E","-0.758491178355490025631942250201","-0.077066237157578419817708966288","0.121159677238299946458206742338","-0.546792219160463114814184672970","41143","1","3","2","1"
"N0G","-0.544440559855502633583228029868","-0.058524321079801626836875358989","0.180080436415718042821367030442","-0.629845065005541252127512923607","87050","1","3","2","1"
"N0H","-0.309513216955109098872103356347","-0.432119473478830368886002688723","0.621387339632257199805637204639","-0.767147250186168714015539909313","43887","2","3","2","1"
"N0J","-0.837918948214657514000528820730","-0.201758432108224352075621364357","-0.113751639303045316248281332628","-0.503953920284458867867265996827","37820","1","3","2","1"
"N0K","-0.699593185752314542189770144917","-0.214482582182024526241105688634","-0.031670704577269143501098982975","-0.560513532097819197712625265432","26843","1","3","2","1"
"N0L","-0.715174113846824833262692511464","-0.409403695778884792128724628679","-0.103994871135335919954509746607","-0.575374329208666684982735626724","54737","1","3","2","1"
"N0M","-0.519314754920167414262335539000","-0.396222886286299737844924652569","0.176899928195611466459981799392","-0.665419957675726608648373513489","64833","2","3","2","1"
"N0N","-0.570531514252590389403861896278","-0.467942443815180496863533490634","0.027030320396193594975682573313","-0.617973856375004367438724900082","41534","1","3","2","1"
"N0P","-0.521249297564198370630068621335","-0.013397721290569644522235094911","0.180468337793683685145708938597","-0.602023002698087989378843240353","56105","2","3","2","1"
"N0R","-0.763978879165262293625668014549","-0.468450791911098972776298945401","-0.158912233286177266026456424116","-0.473178536880632092028935443887","49213","1","3","2","1"
"N1A","-0.355261060271537814025031049967","0.237554802642985588822012037833","0.427946958662901197917263781408","-0.563283567166135014999522308207","10467","2","3","2","1"
"N1C","-0.809312206285678354281845876114","-1.198556751149620185264583098274","-0.747726156829982576554214148708","0.351792372151348671668735191244","8863","1","2","1","2"
"N1E","0.047951277623502388463989802422","-0.319322309684826462617985371331","-0.131897411249566304631400042490","-0.273328608874793541458010865277","32949","2","3","2","1"
"N1G","-0.173536341355611924646410938093","-0.641286607342329061921762248386","-0.101770224563401676308393467528","0.095782470830836306141283706798","26330","2","2","2","2"
"N1H","0.353406003565907981584548390253","-0.262226626987545945221645953616","-0.228016366363669963521381739896","0.250699695302282015816983070751","40876","3","3","2","2"
"N1K","-1.082637620452870645254501000222","-0.846965936928341028895310068904","-0.887575391010255400533451878195","0.627428025007815468970882418315","4499","1","2","1","2"
"N1L","-0.777434998934988209171496760996","-1.455521217988311842823048073645","-0.873271084931358412546880327310","0.443618184240821815717695192636","5866","1","1","1","2"
"N1M","-0.369605663784831082949234488316","-0.574225668786741357453666398066","0.139646062532615656140209508461","-0.488311977808803515713134568896","12410","2","2","2","1"
"N1P","-0.989705559442340992249263680050","-0.893776604852872744690745620834","-0.824484434610480911548597116726","0.248756783097805891458688575415","6451","1","2","1","2"
"N1R","-0.009485146701637409116384751325","0.360940825901870409510224690735","-0.099220664103217222502398384246","0.043023121543376873413279474880","39610","2","4","2","2"
"N1S","-0.235711177866233236253132832080","-0.351907195713154073652882205514","-0.243744461434250382550125313283","-0.270521189846396287061403508772","19152","2","3","2","1"
"N1T","-1.160148475576734989872179925962","-0.758738454562078045470419780680","-0.819428523133504217433819934344","0.734889956068876525878326465042","14317","1","2","1","2"
"N2A","0.051837736066945160139367917224","-0.173995179103658111371155064405","-0.081978069151460278070669388330","0.339632249163402756296192018019","28414","2","3","2","2"
"N2B","0.142450755088743899498243234913","-0.236511808179823194094803673796","0.218722543857738595925537816680","-0.182752031258554295136534549713","16223","2","3","2","1"
"N2C","0.750361361028605924383675160555","0.139111611661102980018645121193","-0.257132921459306812409363994199","0.513359389112688055417443546716","9654","3","3","2","2"
"N2E","-0.421908186445513037260310658811","-0.505453155089325776357793251205","-0.852576400343064047809319764328","0.549586652298033405926620246385","37340","2","2","1","2"
"N2G","1.364910275421358728586108928248","0.342213149509801132632533397812","-0.116085291213659713506014628544","0.441161256281698889137399504322","16543","4","3","2","2"
"N2H","0.777616038256835350939298512325","-0.068285010734095580502769030296","0.026002549331516713741991530025","-0.496883963138359097681615810620","18418","3","3","2","1"
"N2J","0.646018073839338968363271545958","-0.656128256633973231196254538506","0.142777273197477397792853047965","0.258397814032979067886489585324","20932","3","2","2","2"
"N2K","-0.543709380927728108343684413415","-0.887969300150338801816079153639","-0.713885219131500105405405405405","0.075411114116089619818392084636","23347","1","2","1","2"
"N2L","0.514415651303410839115989570191","-0.303732297874832525616956850871","-0.064492187347272623038102447641","0.382684711777798417007317688620","23778","3","3","2","2"
"N2M","0.424990186420349011787066343946","0.035967750933340605807112269596","-0.164814598634147405157326382424","0.492018801571005792524669521504","32226","3","3","2","2"
"N2N","-0.900168664986845414020857473928","-0.714079312404314374292335706009","-0.556952804706644122794239364344","0.262030608735448839814600231750","24164","1","2","1","2"
"N2P","-0.387072611551687751677852348993","-0.891359182372032871930866543921","-0.794410114964316472827700896834","0.163401511954510913737601710519","16837","2","2","1","2"
"N2T","-0.831645321695042046106501417918","-0.944555155360842052872597416238","-0.700963705734081336571788677660","0.518143717968316793939712215103","19042","1","2","1","2"
"N2V","-0.950514354303392216808901371935","-0.962099002811834190882575348385","-0.674719055293424023117640704332","0.135298540084523481608512477044","9257","1","2","1","2"
"N2Z","-0.089373883862938278612561939199","-0.679778183075187247132717289407","0.425730166293000639614302932905","-0.562765826192690211236105531003","7467","2","2","2","1"
"N3A","-0.501102962684244953482762086642","-0.609981506602921721238315408584","0.328878468554275379937682179113","-0.538717025562166762086641873555","9949","2","2","2","1"
